"Epoch","theta1","theta2","Loss"
1,0.689789607189596,-0.362957902252674,7113.96463457317
2,0.152554550597464,-0.0666610664392364,6938.7681132017
3,0.0432433809147468,-0.0103333543718285,6931.68047585977
4,0.021339949060507,0.000156065952319987,6931.40402802414
5,0.0169495701960756,0.00209796410840665,6931.39322898305
6,0.0160685744734807,0.00245528094365622,6931.39280561819
7,0.0158915819960306,0.00252055538149603,6931.39278895502
8,0.0158559820939673,0.00253237588902596,6931.39278829644
9,0.015848813145285,0.00253449351668186,6931.39278827029
10,0.0158473677960965,0.00253486777122884,6931.39278826925
11,0.0158470760551268,0.00253493276125229,6931.39278826921
12,0.015847017099549,0.00253494378342893,6931.39278826921
13,0.0158470051720438,0.00253494559150056,6931.39278826921
14,0.0158470036432728,0.00253494577934797,6931.39278826921
