"Epoch","theta1","theta2","Loss"
1,0.1097382446751,0.713919953908771,7076.78304175579
2,0.0581749867330466,0.167515561491619,6936.17071126767
3,0.0489625930116018,0.0594195890433137,6930.6411215581
4,0.0473888588913008,0.0383460864669168,6930.4312402002
5,0.0471276909210192,0.034241238779119,6930.42328900479
6,0.0470859310968179,0.0334416438568692,6930.42298771182
7,0.0470796203018063,0.0332858682839374,6930.42297628947
8,0.0470787557543787,0.0332555158378066,6930.4229758562
9,0.0470786603006087,0.0332496008193582,6930.42297583975
10,0.0470786559162205,0.0332487806952114,6930.42297583922
