"Epoch","theta1","theta2","Loss"
1,-0.781834012363106,-0.218082355801016,7162.99266495792
2,-0.11992585881996,-0.0141070181460579,6939.86925952512
3,0.0138179999844841,0.024449410181179,6930.79389635418
4,0.040451874200886,0.0316181391624764,6930.43756262181
5,0.045757868272842,0.0329473135121811,6930.42355037064
6,0.0468153424874475,0.0331928861040046,6930.4229984968
7,0.0470261517514368,0.033238062949292,6930.42297673369
8,0.0470681868695741,0.0332463325307536,6930.42297587446
9,0.0470765705180977,0.0332478374840411,6930.4229758405
10,0.0470782429544278,0.0332481094940795,6930.42297583916
11,0.0470785766571811,0.0332481582572591,6930.4229758391
12,0.0470786432552536,0.0332481669126041,6930.4229758391
13,0.0470786565491786,0.0332481684301192,6930.4229758391
14,0.0470786584306255,0.0332481686200163,6930.4229758391
