"Epoch","theta1","theta2","Loss"
1,0.409689154941589,-0.402585421688855,7037.89726259923
2,0.0647845682003504,-0.0867772374746038,6935.37000050259
3,-0.00269561465917233,-0.025681985798561,6931.46981553176
4,-0.0157923081432059,-0.0139694936833802,6931.3244953757
5,-0.0183338481722678,-0.0117250964821899,6931.31908347426
6,-0.0188271022584643,-0.0112950618035629,6931.31888189558
7,-0.0189228388626066,-0.0112126734939525,6931.31887438605
8,-0.0189414219202064,-0.0111968906482523,6931.31887410624
9,-0.0189450292660226,-0.011193867485384,6931.31887409582
10,-0.0189457295750897,-0.0111932884659528,6931.31887409543
11,-0.018945865538816,-0.0111931775793979,6931.31887409541
12,-0.0189458919378287,-0.0111931563460949,6931.31887409541
13,-0.0189458968908254,-0.011193152416761,6931.31887409541
