"Epoch","theta1","theta2","Loss"
1,-0.72842669673264,-0.977589580696076,7399.82177334784
2,-0.0457084036339634,-0.255750170087719,6945.37404200895
3,0.0934994155703532,-0.105014388062121,6925.68206391643
4,0.121077356824056,-0.0747968417438717,6924.89887631068
5,0.126544626931387,-0.0687510970768252,6924.86778571237
6,0.127629023160034,-0.0675417074606078,6924.8665510687
7,0.127844142333971,-0.0672997992595461,6924.86650203231
8,0.127886821135141,-0.0672514146356314,6924.86650008457
9,0.127895289129028,-0.0672417377003442,6924.8665000072
10,0.127896969412285,-0.0672398024250247,6924.86650000412
11,0.127897302852162,-0.0672394154144898,6924.866500004
12,0.127897369025843,-0.0672393380256137,6924.86650000399
13,0.127897382159492,-0.067239322551328,6924.86650000399
14,0.127897384009,-0.067239320358543,6924.86650000399
