"Epoch","theta1","theta2","Loss"
1,-0.164139198604971,-0.892568530514836,7180.69333501385
2,-0.0490255485131023,-0.184706753557218,6941.17056026325
3,-0.0250421317519847,-0.0447524726831315,6931.68871954247
4,-0.020177753492279,-0.0176786170299419,6931.33272762438
5,-0.019194410143367,-0.0124464782518581,6931.31939305334
6,-0.0189959627544301,-0.0114353697309162,6931.31889354031
7,-0.0189559712991902,-0.0112399649991434,6931.31887482418
8,-0.0189479226001955,-0.0112021995146278,6931.31887412273
9,-0.0189463046612001,-0.0111949002590847,6931.31887409644
10,-0.018945979789172,-0.0111934893925902,6931.31887409545
11,-0.0189459146250969,-0.0111932166723711,6931.31887409541
12,-0.0189459015670307,-0.01119316395266,6931.31887409541
13,-0.0189458997144549,-0.0111931566938462,6931.31887409541
