"Epoch","theta1","theta2","Loss"
1,-0.0490033198148012,-0.0201610256917775,6931.62959276146
2,-0.0248241332402339,-0.0129616892623948,6931.33077503063
3,-0.020095415635259,-0.0115418267438679,6931.31932982959
4,-0.0191706928464666,-0.0112618815303364,6931.31889154708
5,-0.0189898587125923,-0.0112066970073719,6931.31887476371
6,-0.0189544952448038,-0.0111958205406348,6931.31887412101
7,-0.0189475795521485,-0.0111936772154447,6931.31887409639
8,-0.0189462270965894,-0.0111932549161862,6931.31887409545
9,-0.0189459626020321,-0.0111931717232128,6931.31887409541
10,-0.0189459108750902,-0.0111931553366075,6931.31887409541
11,-0.0189459007587575,-0.0111931521093826,6931.31887409541
12,-0.0189458997582911,-0.0111931517885195,6931.31887409541
