"Epoch","theta1","theta2","Loss"
1,0.806379490997642,0.54078983515501,7237.07460941818
2,0.145956626214932,0.0984811771997795,6943.7015339707
3,0.0133886355611619,0.0101895876365842,6931.79354051145
4,-0.0126086828790029,-0.00702598386436511,6931.3370438646
5,-0.0177038499240906,-0.0103809573186866,6931.31956970514
6,-0.018702468209328,-0.0110348415169175,6931.31890072768
7,-0.0188981891871482,-0.0111622924209956,6931.31887511509
8,-0.0189365481412294,-0.0111871357532023,6931.31887413445
9,-0.0189440658704696,-0.0111919785950523,6931.31887409691
10,-0.0189455391905294,-0.0111929226859553,6931.31887409547
11,-0.0189458279246845,-0.0111931067420398,6931.31887409541
12,-0.0189458845082131,-0.0111931426267276,6931.31887409541
13,-0.0189458955967151,-0.0111931496233847,6931.31887409541
14,-0.0189458968911273,-0.0111931504368364,6931.31887409541
