"Epoch","theta1","theta2","Loss"
1,-0.638680424075574,-0.502332480624318,7149.46914887164
2,-0.236803543022475,0.0699930140347976,6921.73851300096
3,-0.152854262112179,0.182293335863769,6912.53105836452
4,-0.135677222246067,0.204191951640282,6912.16840027517
5,-0.132166859337063,0.208470853539612,6912.15406270446
6,-0.131449660579292,0.209307456048034,6912.15349445383
7,-0.131303158017966,0.209471064948353,6912.153471887
8,-0.131273236942427,0.209503065819258,6912.15347098912
9,-0.131267126960898,0.209509325883401,6912.15347095333
10,-0.131265879471531,0.209510550665087,6912.1534709519
11,-0.131265624805347,0.20951079032947,6912.15347095184
12,-0.131265572824159,0.209510837234078,6912.15347095184
13,-0.131265562215403,0.209510846415228,6912.15347095184
14,-0.131265560935814,0.209510847486126,6912.15347095184
