"Epoch","theta1","theta2","Loss"
1,0.489395539741963,-0.122747622430325,6993.78091867363
2,0.140712278251356,-0.0306789693805146,6933.08820681298
3,0.0710042343853817,-0.0119687011729702,6930.64941637683
4,0.0571761945649531,-0.0081959747871093,6930.55320893164
5,0.0544349796155033,-0.00743607943288393,6930.54941962946
6,0.0538916120522073,-0.00728310606521893,6930.54927040759
7,0.0537839034186207,-0.00725232510633157,6930.54926453116
8,0.0537625523152971,-0.00724613401974393,6930.54926429973
9,0.0537583197440877,-0.00724488927865126,6930.54926429062
10,0.0537574806659298,-0.00724463911383887,6930.54926429026
11,0.0537573143190802,-0.00724458885464935,6930.54926429025
12,0.0537572813398468,-0.00724457876087993,6930.54926429025
13,0.0537572748013167,-0.00724457673438227,6930.54926429025
14,0.0537572746049806,-0.00724457667303029,6930.54926429025
