"Epoch","theta1","theta2","Loss"
1,-0.915271471254528,0.551249136216938,7314.17369735368
2,-0.142804412400849,0.106066750968783,6946.66228177912
3,0.0147095332331929,0.0152349486891422,6931.18488363825
4,0.0460006300586788,-0.0027863835144862,6930.57432270713
5,0.0522162102158074,-0.00636030406257343,6930.55025256417
6,0.0534510902977102,-0.00706917400563067,6930.5493032704
7,0.0536964398333819,-0.00720978284662438,6930.54926582776
8,0.0537451866972491,-0.00723767433039005,6930.54926435089
9,0.0537548718343146,-0.00724320707952604,6930.54926429264
10,0.0537567960860896,-0.00724430461878973,6930.54926429034
11,0.0537571783954941,-0.00724452234395071,6930.54926429025
12,0.0537572543520148,-0.00724456553626386,6930.54926429025
13,0.0537572694428124,-0.00724457410493416,6930.54926429025
14,0.0537572717654893,-0.00724457542208448,6930.54926429025
