"Epoch","theta1","theta2","Loss"
1,0.452357993461192,0.589415439870209,7099.08452340334
2,0.176250443491076,0.0603244003967444,6933.63286674329
3,0.118638670826523,-0.0463638694189787,6926.76229025923
4,0.106844750441631,-0.0676279546479346,6926.48593168553
5,0.104434290109413,-0.0718661714844701,6926.47482060181
6,0.103941784975595,-0.0727110075240402,6926.47437365565
7,0.103841169136985,-0.0728794239079363,6926.47435566862
8,0.103820615855923,-0.0729129985648669,6926.47435494441
9,0.103816417697191,-0.0729196920589022,6926.47435491524
10,0.103815560262623,-0.0729210265269852,6926.47435491406
11,0.103815385153542,-0.0729212925858466,6926.47435491402
12,0.103815349394745,-0.0729213456329603,6926.47435491401
13,0.103815342093035,-0.0729213562099129,6926.47435491401
14,0.10381534167253,-0.0729213568089394,6926.47435491401
