"Epoch","theta1","theta2","Loss"
1,-0.396639041602612,0.697044406551868,7187.16239378187
2,0.00180567993964506,0.081383834318418,6937.15102118505
3,0.083157911366867,-0.0422846115480542,6926.90001841516
4,0.0996255139187961,-0.0668327597326379,6926.49137887268
5,0.102965135127323,-0.0717109982083418,6926.47503662768
6,0.103642789687066,-0.0726807408194208,6926.4743822283
7,0.103780318046854,-0.072873525159135,6926.47435600888
8,0.103808231399936,-0.0729118500219487,6926.47435495792
9,0.103813897181259,-0.0729194686539948,6926.47435491578
10,0.103815047276384,-0.0729209831196061,6926.47435491408
11,0.103815280747499,-0.0729212841617255,6926.47435491402
12,0.103815328145225,-0.0729213440001454,6926.47435491401
13,0.103815337768135,-0.0729213558938619,6926.47435491401
14,0.103815338747826,-0.0729213570849345,6926.47435491401
