"Epoch","theta1","theta2","Loss"
1,0.985678879078478,-0.68861613702029,7410.43281969985
2,0.132377138507467,-0.170278354151565,6948.31182002694
3,-0.0365021411691671,-0.0666403901276912,6929.81185669606
4,-0.0688446162706964,-0.04672590844632,6929.13183025975
5,-0.0750377322138793,-0.0429045987969837,6929.10686832334
6,-0.0762238530505657,-0.0421713052603293,6929.10595172452
7,-0.0764510257045689,-0.0420305759252089,6929.1059180641
8,-0.0764945339192741,-0.0420035653086951,6929.10591682796
9,-0.0765028663131727,-0.0419983805331741,6929.10591678256
10,-0.0765044620075362,-0.0419973851875209,6929.1059167809
11,-0.0765047675767306,-0.0419971940836306,6929.10591678084
12,-0.0765048260891332,-0.0419971573875143,6929.10591678083
13,-0.0765048372928799,-0.0419971503401101,6929.10591678083
14,-0.0765048385764057,-0.0419971495306808,6929.10591678083
