"Epoch","theta1","theta2","Loss"
1,0.63666028669104,0.634404337033629,7223.06990497532
2,0.0682417573527726,0.100123272495982,6941.79106216601
3,-0.047468862205594,-0.0125690687779283,6929.63245231742
4,-0.0706707770788293,-0.035906419328456,6929.12782122423
5,-0.0753312592590742,-0.0407372847614627,6929.10682941325
6,-0.0762685459109518,-0.0417367257899244,6929.10595483953
7,-0.0764572235796269,-0.041943353350832,6929.10591836907
8,-0.0764952369505847,-0.0419860431263739,6929.10591684715
9,-0.0765029017795631,-0.0419948573466868,6929.1059167836
10,-0.0765044484774136,-0.041996676165466,6929.10591678095
11,-0.0765047608212837,-0.0419970512768453,6929.10591678084
12,-0.0765048239421155,-0.0419971286008716,6929.10591678083
13,-0.0765048367068698,-0.0419971445328109,6929.10591678083
14,-0.0765048384410939,-0.0419971467296615,6929.10591678083
