"Epoch","theta1","theta2","Loss"
1,-0.305817325599492,0.80723166000098,7168.40701593742
2,-0.117422116797936,0.130060422234326,6938.90484114459
3,-0.0835098718888127,-0.00759440806206583,6929.49172456481
4,-0.0776725724154952,-0.0351130523138637,6929.12115657183
5,-0.0766927493706792,-0.0406181699457814,6929.10652144154
6,-0.0765335009371892,-0.0417206482649828,6929.10594087427
7,-0.0765088272864305,-0.0419416547322524,6929.10591774482
8,-0.0765052958317222,-0.0419860007176784,6929.10591681956
9,-0.0765048641890737,-0.0419949071959658,6929.1059167824
10,-0.0765048317121828,-0.0419966358780497,6929.10591678092
