"theta1","theta2","Loss"
-1,-1,7520.32046683982
-1,-0.99,7514.54637441851
-1,-0.98,7508.82716745889
-1,-0.97,7503.16296179658
-1,-0.96,7497.5538724836
-1,-0.95,7492.00001377807
-1,-0.94,7486.50149913391
-1,-0.93,7481.05844119058
-1,-0.92,7475.67095176281
-1,-0.91,7470.33914183036
-1,-0.9,7465.06312152788
-1,-0.89,7459.84300013468
-1,-0.88,7454.67888606461
-1,-0.87,7449.57088685599
-1,-0.86,7444.5191091615
-1,-0.85,7439.52365873814
-1,-0.84,7434.58464043728
-1,-0.83,7429.7021581947
-1,-0.82,7424.87631502064
-1,-0.81,7420.10721298998
-1,-0.8,7415.39495323242
-1,-0.79,7410.73963592269
-1,-0.78,7406.14136027087
-1,-0.77,7401.60022451268
-1,-0.76,7397.11632589993
-1,-0.75,7392.68976069095
-1,-0.74,7388.32062414108
-1,-0.73,7384.00901049328
-1,-0.72,7379.75501296873
-1,-0.71,7375.55872375757
-1,-0.7,7371.42023400964
-1,-0.69,7367.33963382535
-1,-0.68,7363.31701224655
-1,-0.67,7359.35245724758
-1,-0.66,7355.44605572625
-1,-0.65,7351.59789349505
-1,-0.64,7347.80805527236
-1,-0.63,7344.07662467371
-1,-0.62,7340.40368420321
-1,-0.61,7336.789315245
-1,-0.6,7333.23359805481
-1,-0.59,7329.73661175163
-1,-0.58,7326.29843430943
-1,-0.57,7322.91914254902
-1,-0.56,7319.59881212995
-1,-0.55,7316.33751754255
-1,-0.54,7313.13533210008
-1,-0.53,7309.99232793094
-1,-0.52,7306.90857597102
-1,-0.51,7303.88414595611
-1,-0.5,7300.91910641446
-1,-0.49,7298.01352465947
-1,-0.48,7295.16746678241
-1,-0.47,7292.38099764529
-1,-0.46,7289.6541808739
-1,-0.45,7286.98707885091
-1,-0.44,7284.37975270903
-1,-0.43,7281.83226232446
-1,-0.42,7279.34466631026
-1,-0.41,7276.91702201001
-1,-0.4,7274.54938549148
-1,-0.39,7272.24181154049
-1,-0.38,7269.99435365485
-1,-0.37,7267.80706403852
-1,-0.36,7265.67999359574
-1,-0.35,7263.61319192549
-1,-0.34,7261.60670731589
-1,-0.33,7259.66058673891
-1,-0.32,7257.77487584506
-1,-0.31,7255.94961895834
-1,-0.3,7254.18485907125
-1,-0.29,7252.48063784
-1,-0.28,7250.8369955798
-1,-0.27,7249.25397126033
-1,-0.26,7247.73160250138
-1,-0.25,7246.26992556854
-1,-0.24,7244.86897536918
-1,-0.23,7243.52878544842
-1,-0.22,7242.24938798538
-1,-0.21,7241.03081378948
-1,-0.2,7239.87309229697
-1,-0.19,7238.77625156756
-1,-0.18,7237.74031828122
-1,-0.17,7236.76531773512
-1,-0.16,7235.85127384076
-1,-0.15,7234.9982091212
-1,-0.14,7234.2061447085
-1,-0.13,7233.47510034126
-1,-0.12,7232.80509436238
-1,-0.11,7232.19614371693
-1,-0.1,7231.64826395018
-1,-0.09,7231.16146920582
-1,-0.08,7230.73577222431
-1,-0.07,7230.37118434141
-1,-0.0599999999999999,7230.06771548682
-1,-0.0499999999999999,7229.82537418309
-1,-0.04,7229.64416754453
-1,-0.03,7229.52410127646
-1,-0.02,7229.46517967444
-1,-0.01,7229.46740562385
-1,0,7229.53078059943
-1,0.01,7229.65530466517
-1,0.02,7229.84097647423
-1,0.03,7230.08779326907
-1,0.04,7230.39575088176
-1,0.05,7230.7648437344
-1,0.0600000000000001,7231.19506483975
-1,0.0700000000000001,7231.68640580202
