"theta1","theta2","Loss"
-1,-1,7527.04512482405
-1,-0.99,7521.15764790836
-1,-0.98,7515.3240003582
-1,-0.97,7509.54429602011
-1,-0.96,7503.81864797858
-1,-0.95,7498.14716854599
-1,-0.94,7492.52996925256
-1,-0.93,7486.96716083625
-1,-0.92,7481.45885323279
-1,-0.91,7476.00515556567
-1,-0.9,7470.60617613613
-1,-0.89,7465.26202241325
-1,-0.88,7459.97280102404
-1,-0.87,7454.73861774353
-1,-0.86,7449.55957748491
-1,-0.85,7444.43578428976
-1,-0.84,7439.36734131824
-1,-0.83,7434.35435083937
-1,-0.82,7429.39691422131
-1,-0.81,7424.49513192172
-1,-0.8,7419.64910347818
-1,-0.79,7414.85892749858
-1,-0.78,7410.12470165164
-1,-0.77,7405.44652265747
-1,-0.76,7400.8244862781
-1,-0.75,7396.25868730822
-1,-0.74,7391.74921956579
-1,-0.73,7387.2961758829
-1,-0.72,7382.89964809652
-1,-0.71,7378.55972703944
-1,-0.7,7374.27650253122
-1,-0.69,7370.05006336918
-1,-0.68,7365.88049731955
-1,-0.67,7361.76789110859
-1,-0.66,7357.71233041383
-1,-0.65,7353.71389985541
-1,-0.64,7349.77268298745
-1,-0.63,7345.88876228951
-1,-0.62,7342.06221915818
-1,-0.61,7338.29313389865
-1,-0.6,7334.58158571651
-1,-0.59,7330.92765270947
-1,-0.58,7327.33141185929
-1,-0.57,7323.79293902381
-1,-0.56,7320.31230892893
-1,-0.55,7316.88959516087
-1,-0.54,7313.52487015839
-1,-0.53,7310.21820520515
-1,-0.52,7306.96967042221
-1,-0.51,7303.77933476056
-1,-0.5,7300.64726599383
-1,-0.49,7297.57353071101
-1,-0.48,7294.5581943094
-1,-0.47,7291.60132098754
-1,-0.46,7288.70297373835
-1,-0.45,7285.86321434231
-1,-0.44,7283.08210336083
-1,-0.43,7280.35970012965
-1,-0.42,7277.69606275245
-1,-0.41,7275.09124809447
-1,-0.4,7272.54531177634
-1,-0.39,7270.05830816801
-1,-0.38,7267.63029038278
-1,-0.37,7265.26131027146
-1,-0.36,7262.95141841669
-1,-0.35,7260.70066412734
-1,-0.34,7258.50909543308
-1,-0.33,7256.37675907905
-1,-0.32,7254.30370052067
-1,-0.31,7252.2899639186
-1,-0.3,7250.33559213384
-1,-0.29,7248.44062672291
-1,-0.28,7246.60510793323
-1,-0.27,7244.82907469859
-1,-0.26,7243.11256463484
-1,-0.25,7241.4556140356
-1,-0.24,7239.85825786821
-1,-0.23,7238.32052976976
-1,-0.22,7236.84246204335
-1,-0.21,7235.42408565438
-1,-0.2,7234.06543022705
-1,-0.19,7232.76652404105
-1,-0.18,7231.52739402828
-1,-0.17,7230.34806576983
-1,-0.16,7229.22856349305
-1,-0.15,7228.16891006879
-1,-0.14,7227.16912700878
-1,-0.13,7226.22923446318
-1,-0.12,7225.34925121825
-1,-0.11,7224.5291946942
-1,-0.1,7223.76908094321
-1,-0.09,7223.06892464754
-1,-0.08,7222.42873911787
-1,-0.07,7221.84853629172
-1,-0.0599999999999999,7221.32832673209
-1,-0.0499999999999999,7220.86811962626
-1,-0.04,7220.46792278462
-1,-0.03,7220.12774263987
-1,-0.02,7219.84758424617
-1,-0.01,7219.62745127857
-1,0,7219.46734603257
-1,0.01,7219.36726942379
-1,0.02,7219.32722098789
-1,0.03,7219.34719888056
-1,0.04,7219.42719987768
-1,0.05,7219.56721937572
-1,0.0600000000000001,7219.76725139217
-1,0.0700000000000001,7220.02728856621
-1,0.0800000000000001,7220.34732215956
-1,0.0900000000000001,7220.72734205736
-1,0.1,7221.16733676936
-1,0.11,7221.6672934312
-1,0.12,7222.22719780575
-1,0.13,7222.84703428483
-1,0.14,7223.52678589082
-1,0.15,7224.26643427866
-1,0.16,7225.06595973784
-1,0.17,7225.9253411946
-1,0.18,7226.84455621435
-1,0.19,7227.82358100407
-1,0.2,7228.86239041507
-1,0.21,7229.96095794574
-1,0.22,7231.11925574453
-1,0.23,7232.33725461305
-1,0.24,7233.61492400932
-1,0.25,7234.95223205119
-1,0.26,7236.34914551989
-1,0.27,7237.80562986369
-1,0.28,7239.3216492018
-1,0.29,7240.89716632829
-1,0.3,7242.53214271627
-1,0.31,7244.22653852211
-1,0.32,7245.9803125899
-1,0.33,7247.79342245594
-1,0.34,7249.66582435348
-1,0.35,7251.59747321749
-1,0.36,7253.58832268966
-1,0.37,7255.63832512348
-1,0.38,7257.74743158945
-1,0.39,7259.91559188045
-1,0.4,7262.14275451722
-1,0.41,7264.42886675398
-1,0.42,7266.77387458418
-1,0.43,7269.17772274636
-1,0.44,7271.64035473013
-1,0.45,7274.16171278231
-1,0.46,7276.74173791319
-1,0.47,7279.3803699028
-1,0.48,7282.0775473075
-1,0.49,7284.83320746648
-1,0.5,7287.64728650852
-1,0.51,7290.5197193588
-1,0.52,7293.45043974583
-1,0.53,7296.43938020848
-1,0.54,7299.48647210317
-1,0.55,7302.59164561108
-1,0.56,7305.75482974555
-1,0.57,7308.97595235953
-1,0.58,7312.25494015317
-1,0.59,7315.59171868142
-1,0.6,7318.9862123619
-1,0.61,7322.43834448266
-1,0.62,7325.94803721019
-1,0.63,7329.51521159746
-1,0.64,7333.13978759205
-1,0.65,7336.82168404436
-1,0.66,7340.56081871595
-1,0.67,7344.35710828792
-1,0.68,7348.21046836937
-1,0.69,7352.12081350601
-1,0.7,7356.08805718875
-1,0.71,7360.11211186242
-1,0.72,7364.19288893457
-1,0.73,7368.33029878436
-1,0.74,7372.52425077143
-1,0.75,7376.77465324495
-1,0.76,7381.08141355265
-1,0.77,7385.44443805002
-1,0.78,7389.86363210941
-1,0.79,7394.33890012938
-1,0.8,7398.87014554394
-1,0.81,7403.45727083199
-1,0.82,7408.10017752669
-1,0.83,7412.79876622498
-1,0.84,7417.55293659709
-1,0.85,7422.36258739612
-1,0.86,7427.2276164677
-1,0.87,7432.14792075962
-1,0.88,7437.12339633156
-1,0.89,7442.15393836487
-1,0.9,7447.23944117234
-1,0.91,7452.37979820804
-1,0.92,7457.5749020772
-1,0.93,7462.82464454608
-1,0.94,7468.12891655195
-1,0.95,7473.48760821303
-1,0.96,7478.90060883847
-1,0.97,7484.36780693838
-1,0.98,7489.88909023386
-1,0.99,7495.46434566709
-1,1,7501.09345941138
-0.99,-1,7521.51376040514
-0.99,-0.99,7515.6219051049
-0.99,-0.98,7509.78391198536
-0.99,-0.97,7503.99989512545
-0.99,-0.96,7498.26996784108
-0.99,-0.95,7492.59424267503
-0.99,-0.94,7486.97283138682
-0.99,-0.93,7481.40584494268
-0.99,-0.92,7475.89339350545
-0.99,-0.91,7470.43558642455
-0.99,-0.9,7465.032532226
-0.99,-0.89,7459.68433860242
-0.99,-0.88,7454.39111240309
-0.99,-0.87,7449.15295962401
-0.99,-0.86,7443.96998539804
-0.99,-0.85,7438.84229398507
-0.99,-0.84,7433.76998876215
-0.99,-0.83,7428.75317221376
-0.99,-0.82,7423.7919459221
-0.99,-0.81,7418.88641055735
-0.99,-0.8,7414.03666586807
-0.99,-0.79,7409.24281067159
-0.99,-0.78,7404.50494284447
-0.99,-0.77,7399.82315931301
-0.99,-0.76,7395.19755604383
-0.99,-0.75,7390.62822803444
-0.99,-0.74,7386.11526930396
-0.99,-0.73,7381.65877288382
-0.99,-0.72,7377.25883080858
-0.99,-0.71,7372.9155341068
-0.99,-0.7,7368.6289727919
-0.99,-0.69,7364.39923585325
-0.99,-0.68,7360.22641124713
-0.99,-0.67,7356.11058588793
-0.99,-0.66,7352.05184563934
-0.99,-0.65,7348.05027530563
-0.99,-0.64,7344.10595862298
-0.99,-0.63,7340.21897825096
