"theta1","theta2","Loss"
-1,-0.37,7356.09292630638
-1,-0.36,7353.87127407121
-1,-0.35,7351.70970068001
-1,-0.34,7349.60825568548
-1,-0.33,7347.56698731692
-1,-0.32,7345.58594247481
-1,-0.31,7343.66516672565
-1,-0.3,7341.80470429677
-1,-0.29,7340.00459807146
-1,-0.28,7338.26488958413
-1,-0.27,7336.58561901564
-1,-0.26,7334.96682518878
-1,-0.25,7333.40854556391
-1,-0.24,7331.91081623471
-1,-0.23,7330.47367192415
-1,-0.22,7329.09714598049
-1,-0.21,7327.78127037357
-1,-0.2,7326.52607569115
-1,-0.19,7325.33159113546
-1,-0.18,7324.19784451984
-1,-0.17,7323.12486226563
-1,-0.16,7322.11266939913
-1,-0.15,7321.16128954875
-1,-0.14,7320.27074494231
-1,-0.13,7319.44105640452
-1,-0.12,7318.6722433546
-1,-0.11,7317.96432380403
-1,-0.1,7317.31731435453
-1,-0.09,7316.73123019612
-1,-0.08,7316.20608510542
-1,-0.07,7315.74189144403
-1,-0.0599999999999999,7315.33866015715
-1,-0.0499999999999999,7314.9964007723
-1,-0.04,7314.71512139823
-1,-0.03,7314.49482872401
-1,-0.02,7314.33552801822
-1,-0.01,7314.2372231284
-1,0,7314.19991648054
-1,0.01,7314.22360907889
-1,0.02,7314.30830050575
-1,0.03,7314.45398892158
-1,0.04,7314.6606710652
-1,0.05,7314.92834225415
-1,0.0600000000000001,7315.25699638524
-1,0.0700000000000001,7315.64662593523
-1,0.0800000000000001,7316.09722196173
-1,0.0900000000000001,7316.6087741042
-1,0.1,7317.18127058513
-1,0.11,7317.81469821143
-1,0.12,7318.5090423759
-1,0.13,7319.26428705891
-1,0.14,7320.08041483025
-1,0.15,7320.95740685113
-1,0.16,7321.89524287628
-1,0.17,7322.89390125635
-1,0.18,7323.9533589403
-1,0.19,7325.07359147806
-1,0.2,7326.25457302334
-1,0.21,7327.49627633652
-1,0.22,7328.79867278779
-1,0.23,7330.1617323604
-1,0.24,7331.58542365403
-1,0.25,7333.06971388839
-1,0.26,7334.6145689069
-1,0.27,7336.21995318058
-1,0.28,7337.88582981205
-1,0.29,7339.61216053966
-1,0.3,7341.39890574186
-1,0.31,7343.2460244416
-1,0.32,7345.15347431096
-1,0.33,7347.12121167589
-1,0.34,7349.14919152108
-1,0.35,7351.23736749501
-1,0.36,7353.38569191513
-1,0.37,7355.59411577313
-1,0.38,7357.86258874041
-1,0.39,7360.19105917367
-1,0.4,7362.57947412062
-1,0.41,7365.02777932583
-1,0.42,7367.53591923669
-1,0.43,7370.10383700959
-1,0.44,7372.73147451607
-1,0.45,7375.41877234927
-1,0.46,7378.16566983038
-1,0.47,7380.97210501527
-1,0.48,7383.83801470122
-1,0.49,7386.76333443381
-1,0.5,7389.74799851388
-1,0.51,7392.79194000462
-1,0.52,7395.89509073879
-1,0.53,7399.05738132606
-1,0.54,7402.27874116042
-1,0.55,7405.55909842778
-1,0.56,7408.89838011354
-1,0.57,7412.29651201043
-1,0.58,7415.75341872636
-1,0.59,7419.26902369236
-1,0.6,7422.84324917067
-1,0.61,7426.47601626292
-1,0.62,7430.16724491835
-1,0.63,7433.91685394224
-1,0.64,7437.7247610043
-1,0.65,7441.59088264725
-1,0.66,7445.51513429542
-1,0.67,7449.4974302635
-1,0.68,7453.53768376534
-1,0.69,7457.63580692281
-1,0.7,7461.7917107748
-1,0.71,7466.00530528624
-1,0.72,7470.27649935724
-1,0.73,7474.60520083228
-1,0.74,7478.99131650947
-1,0.75,7483.43475214993
-1,0.76,7487.93541248713
-1,0.77,7492.49320123642
-1,0.78,7497.10802110457
-1,0.79,7501.77977379932
-1,0.8,7506.50836003912
-1,0.81,7511.29367956276
-1,0.82,7516.13563113923
-1,0.83,7521.03411257748
-1,0.84,7525.98902073636
-1,0.85,7531.00025153451
-1,0.86,7536.06769996036
-1,0.87,7541.19126008213
-1,0.88,7546.37082505796
-1,0.89,7551.60628714593
-1,0.9,7556.89753771429
-1,0.91,7562.2444672516
-1,0.92,7567.64696537698
-1,0.93,7573.10492085035
-1,0.94,7578.61822158272
-1,0.95,7584.18675464652
-1,0.96,7589.81040628593
-1,0.97,7595.48906192726
-1,0.98,7601.22260618935
-1,0.99,7607.01092289396
-1,1,7612.85389507626
-0.99,-1,7607.60725908514
-0.99,-0.99,7601.7489336997
-0.99,-0.98,7595.9452493662
-0.99,-0.97,7590.19632357355
-0.99,-0.96,7584.50227302849
-0.99,-0.95,7578.86321364513
-0.99,-0.94,7573.2792605344
-0.99,-0.93,7567.75052799368
-0.99,-0.92,7562.27712949627
-0.99,-0.91,7556.85917768105
-0.99,-0.9,7551.49678434203
-0.99,-0.89,7546.19006041805
-0.99,-0.88,7540.93911598243
-0.99,-0.87,7535.74406023265
