"Epoch","theta1","theta2","Loss"
1,-0.432305006776005,0.00633019814267755,6978.76635741605
2,-0.119114575217646,-0.0128852160629104,6932.74351896236
3,-0.0567965866668909,-0.0163110360380541,6930.91847550084
4,-0.0444654462874922,-0.0169129264783643,6930.84705104457
5,-0.042026506234411,-0.0170169749603289,6930.84425848027
6,-0.0415441303478672,-0.0170345744094648,6930.84414929706
7,-0.0414487230391812,-0.0170374627341777,6930.84414502771
8,-0.0414298520824229,-0.0170379161307144,6930.84414486074
9,-0.041426119379779,-0.0170379823582427,6930.84414485421
10,-0.0414253810160679,-0.0170379907925239,6930.84414485395
11,-0.0414252349548552,-0.0170379915327209,6930.84414485394
12,-0.0414252060602227,-0.0170379914944984,6930.84414485394
13,-0.0414252003438931,-0.0170379914502063,6930.84414485394
