"Epoch","theta1","theta2","Loss"
1,0.97144023142755,-0.253089926205575,7170.19387614699
2,0.292772377542839,-0.0455165602096182,6937.20820739509
3,0.153819379643211,-0.00480965965968538,6927.39134601736
4,0.12623334312552,0.00295196966926733,6927.00640522195
5,0.120772864545635,0.00442737533978589,6926.99140697916
6,0.119692426681395,0.00470749917248403,6926.99082296222
7,0.119478650442787,0.00476063038094122,6926.99080021611
8,0.119436350555703,0.00477069738914013,6926.99079932988
9,0.119427980188614,0.00477260273596306,6926.99079929534
10,0.11942632374749,0.00477296292956757,6926.99079929399
11,0.119425995928983,0.00477303093557145,6926.99079929394
12,0.11942593104814,0.00477304375781898,6926.99079929394
13,0.119425918206379,0.00477304617182188,6926.99079929394
14,0.119425916493601,0.00477304648015534,6926.99079929394
