"Epoch","theta1","theta2","Loss"
1,-0.113399767782539,-0.979856004472822,7245.2129183726
2,0.0720461520187546,-0.190555299801429,6939.77617646984
3,0.109839501802199,-0.0332217093884537,6927.47689358568
4,0.117483435614106,-0.00261468038760576,6927.00926846258
5,0.119032446949036,0.00333640750507013,6926.99150146148
6,0.119346274754923,0.00449365094838475,6926.99082600196
7,0.119409808280639,0.00471870637702137,6926.99080031027
8,0.119422660053793,0.00476247721892436,6926.99079933263
9,0.119425257723217,0.00477099075700078,6926.99079929541
10,0.119425782389979,0.00477264677580089,6926.99079929399
11,0.119425888286092,0.00477296892042483,6926.99079929394
12,0.119425909645543,0.00477303159154467,6926.99079929394
13,0.11942591354077,0.00477304264375018,6926.99079929394
