"Epoch","theta1","theta2","Loss"
1,0.23674736218527,0.461241549812257,7025.90327302133
2,0.0144183479772542,0.0789283754065375,6934.69054683032
3,-0.030259421289851,0.00212076287375998,6930.99756492948
4,-0.03919216903634,-0.013213013155038,6930.85026503787
5,-0.0409785880606606,-0.0162743072356015,6930.84438903456
6,-0.0413358757780675,-0.0168855137707121,6930.84415459651
7,-0.0414073343695995,-0.0170075473818692,6930.84414524266
8,-0.0414216260969847,-0.0170319128574099,6930.84414486945
9,-0.0414244843945082,-0.0170367777504664,6930.84414485456
10,-0.0414250560342164,-0.0170377490975828,6930.84414485397
11,-0.0414251703561743,-0.0170379430424505,6930.84414485394
12,-0.0414251932189701,-0.0170379817668565,6930.84414485394
13,-0.0414251974554332,-0.0170379889316703,6930.84414485394
