"Epoch","theta1","theta2","Loss"
1,-0.870135370641947,0.985855360981077,7524.92841870733
2,-0.135192667923561,0.148054448008478,6955.37337033992
3,0.017259225356374,-0.0289640275587575,6929.90162372934
4,0.0477136528316701,-0.0650043121747228,6928.86245177695
5,0.0538013285580143,-0.072344927941505,6928.82001014136
6,0.0550190337132515,-0.0738405269937477,6928.81827439287
7,0.0552626873947102,-0.0741452341968126,6928.8182033655
8,0.0553114523050467,-0.0742073067966693,6928.818200458
9,0.0553212142791614,-0.074219950119649,6928.81820033895
10,0.0553231688968879,-0.0742225250598352,6928.81820033407
11,0.0553235603496567,-0.074223049407555,6928.81820033387
12,0.0553236387629815,-0.0742231561703235,6928.81820033387
13,0.0553236544735881,-0.0742231779058579,6928.81820033387
14,0.0553236569100966,-0.0742231813236884,6928.81820033387
