"Epoch","theta1","theta2","Loss"
1,-0.593413536436856,0.0111890463158488,7013.77969021408
2,-0.175089116147118,0.109500618563637,6927.61831733794
3,-0.0918950046587031,0.130603110503138,6924.16722754789
4,-0.0755155304589481,0.135117758151016,6924.03197608521
5,-0.0722922825403245,0.136080421842213,6924.02667485739
6,-0.0716578323228857,0.136284902522578,6924.0264667326
7,-0.0715329051978882,0.136328180926929,6924.02645854663
8,-0.071508296888655,0.136337311475141,6924.02645822405
9,-0.0715034476097226,0.136339232272708,6924.02645821132
10,-0.0715024916352973,0.136339635321169,6924.02645821081
11,-0.071502303100218,0.136339719700682,6924.02645821079
12,-0.0715022659023727,0.136339737329305,6924.02645821079
13,-0.0715022585601773,0.136339741005395,6924.02645821079
14,-0.0715022582406363,0.136339741171331,6924.02645821079
