"Epoch","theta1","theta2","Loss"
1,0.802983853500336,-0.966374255716801,7370.62006799327
2,0.195026625808376,-0.226896534945353,6950.51520600437
3,0.0661177439846352,-0.0721325356001851,6931.58382010996
4,0.0399407589140679,-0.0411054268301101,6930.81396201447
5,0.0346412265686613,-0.0349022151466242,6930.78286187565
6,0.0335688196809818,-0.0336622742397375,6930.78160622514
7,0.0333518483013665,-0.0334144148734705,6930.78155552753
8,0.0333079562004942,-0.0333648644693698,6930.78155348035
9,0.0332990781723002,-0.0333549577533851,6930.78155339767
10,0.0332972826319192,-0.033352976895751,6930.78155339433
11,0.0332969195338067,-0.0333525807840243,6930.78155339419
12,0.0332968461154857,-0.0333525015662289,6930.78155339419
13,0.0332968312719297,-0.0333524857221089,6930.78155339419
14,0.0332968289520586,-0.0333524832689061,6930.78155339419
