"Epoch","theta1","theta2","Loss"
1,-0.0852915366312333,-0.0639075188816025,6924.95904811285
2,-0.108274126388428,-0.0687449277049566,6924.40650129863
3,-0.120342350125613,-0.0713121174713436,6924.25401030157
4,-0.12668112246102,-0.0726750124556844,6924.21190186241
5,-0.130011051627465,-0.073398683796254,6924.20027021669
6,-0.131760506888713,-0.0737829630673253,6924.19705657185
7,-0.132679668277392,-0.0739870208805269,6924.19616858981
8,-0.133162607619445,-0.0740953752834111,6924.19592320878
9,-0.133416354292629,-0.0741529086759066,6924.19585539809
10,-0.133549679563417,-0.0741834557793002,6924.19583665806
11,-0.133619732696115,-0.0741996736980322,6924.19583147896
12,-0.133656540922727,-0.0742082835286896,6924.1958300476
13,-0.133675881262282,-0.074212854077794,6924.195829652
14,-0.133686043397439,-0.0742152802217293,6924.19582954266
15,-0.133691382981277,-0.0742165679950534,6924.19582951244
16,-0.133694188617591,-0.0742172514931257,6924.19582950409
17,-0.133695662819045,-0.0742176142457218,6924.19582950178
18,-0.133696437430268,-0.0742178067584723,6924.19582950114
19,-0.13369684444696,-0.0742179089193403,6924.19582950097
20,-0.133697058313155,-0.0742179631301785,6924.19582950092
21,-0.133697170689151,-0.074217991895187,6924.1958295009
22,-0.133697229737324,-0.0742180071574904,6924.1958295009
23,-0.133697260764402,-0.0742180152550322,6924.1958295009
24,-0.13369727706775,-0.0742180195510313,6924.1958295009
25,-0.133697285634463,-0.074218021830079,6924.1958295009
26,-0.133697290135921,-0.0742180230390646,6924.1958295009
27,-0.133697292501261,-0.0742180236803743,6924.1958295009
28,-0.133697293652688,-0.0742180239953893,6924.1958295009
