"Epoch","theta1","theta2","Loss"
1,-0.0514484944806053,-0.0361812928662743,6926.75129972147
2,-0.0904982108098056,-0.0541001341999081,6924.90222073965
3,-0.111001014278455,-0.0635741664838886,6924.3912527048
4,-0.121770674879212,-0.0685856165051953,6924.24992122929
5,-0.127429318682449,-0.0712372505744271,6924.21080625842
6,-0.130402989067463,-0.0726404800169818,6924.19997696505
7,-0.131965822146907,-0.073383114590529,6924.19697817053
8,-0.132787221566732,-0.0737761524658639,6924.19614765602
9,-0.133218948201451,-0.0739841682948635,6924.19591762714
10,-0.133445867240165,-0.0740942603054416,6924.19585391212
11,-0.133565139105429,-0.0741525255931715,6924.19583626312
12,-0.133627830606429,-0.0741833615367808,6924.19583137418
13,-0.133660782636028,-0.0741996806719285,6924.19583001985
14,-0.133678103044449,-0.0742083170024075,6924.19582964467
15,-0.133687207130351,-0.0742128873943871,6924.19582954073
16,-0.133691992513565,-0.0742153060258352,6924.19582951193
17,-0.133694507868078,-0.0742165859316546,6924.19582950396
18,-0.133695830027325,-0.074217263227564,6924.19582950174
19,-0.133696525004281,-0.0742176216301011,6924.19582950113
20,-0.133696890312223,-0.0742178112814568,6924.19582950096
21,-0.133697082333741,-0.0742179116351023,6924.19582950092
22,-0.133697183268967,-0.0742179647361093,6924.1958295009
23,-0.133697236325359,-0.0742179928334252,6924.1958295009
24,-0.133697264214474,-0.0742180077002924,6924.1958295009
25,-0.133697278874471,-0.0742180155665236,6924.1958295009
26,-0.13369728658058,-0.0742180197285675,6924.1958295009
27,-0.133697290631358,-0.0742180219306792,6924.1958295009
28,-0.133697292760693,-0.0742180230957837,6924.1958295009
29,-0.133697293616047,-0.0742180235664711,6924.1958295009
