"Epoch","theta1","theta2","Loss"
1,0.321725671645254,-0.501683555543423,7023.67645198312
2,0.136570454214859,-0.100931282077508,6932.79562677532
3,0.0986157957003876,-0.0211079510028668,6929.13703692729
4,0.0909425320629138,-0.00535458295862566,6928.99320620881
5,0.0893940638988562,-0.00224721746414884,6928.98755995589
6,0.0890817763183488,-0.00163427175685168,6928.98733828608
7,0.0890188220433058,-0.00151335442538554,6928.98732958104
8,0.0890061357217018,-0.00148949849219983,6928.98732923909
9,0.0890035801057156,-0.00148479146799222,6928.98732922565
10,0.0890030654562022,-0.00148386263254363,6928.98732922512
11,0.0890029618491,-0.00148367932789651,6928.9873292251
12,0.0890029409977119,-0.00148364314940186,6928.9873292251
13,0.0890029372019711,-0.00148363668152489,6928.9873292251
